???????????????????????????????????????????????????,,,,,,?????? ? ?????? 23 ?.?. 2569,,,
??????????,??????,????,???????????????,??????????,???????,????????????,????????,??????,????????
ECF,?????? ???????????????????? ????? (?????),mai,??????????????????,-,37/9 ???? 10 ?????????? - ???? ????????????? ????????? ?????,21110,"0-3867-1361, 0-3888-6372-4",0-3888-6375,www.eastcoast.co.th
EFORL,?????? ?? ???? ??? ??? ????? (?????),mai,??????????????????,-,?????? 432 ?????????? ????????????? ?????????? ?????????????,10700,0-2883-0871-9,-,www.eforl-aim.com
EGATIF,????????????????????????? ??????????????????? ?????? 1 ?????????????????????????????,SET,????????,?????????????????????,1 ????????????????????? ???? 32 ?????????? ??????????? ??????? ?????????????,10120,0-2686-6100,0-2670-0430,www.ktam.co.th
EGCO,?????? ????????? ????? (?????),SET,????????,?????????????????????,"???????????, 222 ???? 5 ???????????????? ??????????????? ?????????? ?????????????",10210,"0-2998-5000, 0-2998-5999",0-2955-0956-9,http://www.egco.com
EKH,?????? ?????????????? ????? (?????),SET,??????,????????,?????? 99/9 ??????? 4 ????????? ?????????? ??????????????????? ?????????,74000,0-3441-7999 or 1715,0-3441-7903,www.ekachaihospital.com
EMC,?????? ???????? ????? (?????),SET,??????????????????????????,?????????????????????,140/66 ???????????? ???????? ???? 28 ??????? ????????????? ????????? ?????????????,10500,0-2615-6100,0-2615-6128,www.emc.co.th
EMPIRE,?????? ???????? ?????? ??????? ????? (?????),mai,??????????????????????????,-,?????? 89 ????? ?????? ???????? ????????? ???? 9 ???? 901 ????????????? ?????????? ????????? ?????????????,10400,0-2248-1948,0-2248-1949,https://www.orgempire.com
EP,?????? ????????? ???????? ????? ????? (?????),SET,????????,?????????????????????,"?????? 51/29, 51/61 ????????????????66 (???????????) ?????????????? ?????????? ?????????????",10210,0-2551-0541-4,"0-2552-0905, 0-2551-0532",http://www.epco.co.th
EPG,?????? ?????????????????? ????? ????? (?????),SET,??????????????????????????,?????????????,770 ???? 6 ???????????? ?????????? ???????????,10270,0-2383-6599,0-2383-6532,www.epg.co.th
ERW,?????? ?? ??????? ????? ????? (?????),SET,??????,?????????????????????????,"????????????? ????????? ???? 6, 2 ??????????? ??????????? ?????????? ?????????????",10110,0-2257-4588,0-2257-4577,http://www.theerawan.com
ESTAR,?????? ????????? ????? ????? ?????? ????? (?????),SET,??????????????????????????,????????????????????,"????????????????????? ???? 5, 898 ??????????? ??????????? ?????????? ?????????????",10330,0-2263-1010,0-2263-1009,www.estarpcl.com
ETC,?????? ?????? ???? ????????????? ????? (?????),SET,????????,?????????????????????,"88, 88/1 ??????? 1 ???????????? ???????????? ???????",18110,0-3620-0294,0-3620-0295,http://www.etcenvi.com
ETE,?????? ????? ???????? ?????????????? ????? (?????),mai,??????,-,88 ????????????? ???????????? ?????????? ?????????????,10240,0-2158-2000,-,www.eastern-groups.com
ETL,?????? ?????????? ?????? ?????????? ????? (?????),SET,??????,??????????????????,88/8 ???? 4 ???????? ????????????? ?????????? ?????????????,10120,0-2123-1727,-,www.etl.co.th
EURO,?????? ???? ??????????? ????? (?????),mai,??????????????????,-,1050 ???????? 66/1 ??????????? ?????????????? ?????????? ?????????????,10260,0-2744-9624,0-2744-9624,www.eurocreations.co.th
EVER,?????? ???????????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 223/96 ????? ??????? ???????? ???? 21 ??????????? ????????? ???????? ?????????????,10260,0-2361-6156-60,0-2720-7598-9,www.everland.co.th
F&D,?????? ???????????????? ????? (?????),SET,???????????????????????,???????????????????,?????? 183 ????????????? ?????? ??????? 15 ?????????? ??????????? ?????????? ?????????????,10330,0-2253-5232-33,-,www.foodanddrinks.co.th
FANCY,?????? ????????? ?????????? ????? (?????),SET,??????????????????,????????????????????????????,???.??????????????????? ???? 2 ?????? 22 ?????????????????? 23 ?????????????????? ???????????? ??????????? ?????????????,10230,"0-2578-2823 , 0-2578-2824",0-2578-2522,http://www.fancywood.th.com
FE,?????? ????????? ??????? ?????? ????? (?????),SET,??????,????????????????,465/1-467 ???????????? ????????????? ?????????? ?????????????,10400,0-2354-3333,0-2644-9550-2,www.fareastfamelineddb.com
FLOYD,?????? ?????? ????? (?????),mai,??????????????????????????,-,?????? 31/4 ??????? 2 ???????????????? ?????????????? ????????????? ???????????? ???????,11140,"0-2191-6258, 0-2191-6260",0-2191-6262,www.floyd.co.th
FM,?????? ???????????? ????? (?????),SET,???????????????????????,???????????????????,48 ??????? 8 ?????????????? 4 ?????????????? ???????????? ??????,73220,0-2814-3480-9,0-2429-2811,https://www.foodmoments.co.th/
FMT,?????? ???? ??????? ??????????? ????? (?????),SET,????????????????,?????????????????????????????,183 ??????????????????? ???? 14 ???????????? ??????????? ?????????? ?????????????,10330,0-2256-0641-50,0-2256-0651-2,www.fmt.co.th
FN,?????? ??????? ???????? ????????? ????? (?????),SET,??????,???????,?????? 991 ????? ??????? ??????? ????????? 9 ??????????? ?????????? ?????????????,10250,0-2300-4951,0-2300-4681,www.fnoutlet.com
FNS,?????? ?????????? ????????? ????? (?????),SET,?????????????,????????????????????,?????? 345 ????? 345 ??????? ???????? 6 ?????????? ????????????? ????????? ?????????????,10500,0-2697-3700,0-2697-3779,www.fnsplc.com
FORTH,?????? ????? ???????????? ????? (?????),SET,?????????,??????????????????????????????,?????? 1053/1 ??????????? ????????? ???????? ?????????????,10400,"0-2265-6700, 0-2271-2888","0-2265-6799, 0-2279-4888",http://www.forth.co.th
FPI,?????? ??????? ????? ?????????? ????? (?????),mai,????????????????,-,11/22 ???? 20 ???????????? ??????????? ???????????? ????????,12150,0-2993-4970-7,0-2993-4978-9,http://www.fpiautoparts.com
FPT,?????? ????????? ????????????? (?????????) ????? (?????),SET,??????????????????????????,????????????????????,?????? 944 ????????? ?????? ???????? ??????? 22-23 ????????? 4 ??????????? ?????????? ?????????????,10330,0-2483-0000,0-2078-1970,https://www.frasersproperty.co.th
FSMART,?????? ????? ?????? ???????? ????? (?????),mai,??????,-,256 ??????????? ???????????? ???????? ?????????????,10400,0-2278-1777,0-2279-7195,www.boonterm.com
FSX,?????? ????????? ????? ????? (?????),SET,?????????????,????????????????????,999/9 ????? ?? ????????? ??? ?????????????? ???? 18 ????????? 1 ??????????? ?????????? ?????????????,10330,0-2658-9500,0-2658-9149,https://www.finansiax.com
FTE,?????? ?????????????????????? ????? (?????),SET,????????????????,?????????????????????????????,?????? 1198/5 ????????? 9 ???????????? ?????????? ?????????????,10250,0-2026-0470-92,0-2026-0499,www.firetrade.co.th
FTI,?????? ????????? ????????????????? ????? (?????),SET,??????????????????,????????????????????????????,?????? 313 ????????????? ?????????? ???????????? ?????????????,10510,0-2540-6263,0-2907-4100,www.functioninter.co.th
FTREIT,????????????????????????????????????????????????????????????????????????????????? ????????? ?????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 944 ????????? ?????? ???????? ??????? 22-23 ????????? 4 ??????????? ?????????? ?????????????,10330,0-2483-0000,0-2483-0592,www.ftreit.co.th
FUTURERT,?????????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 175 ?????????????????????? ???? 7 ???? 21 ??? ???? 26 ?????????? ?????????????? ??????? ?????????????,10120,0-2674-6488,-,https://www.bblam.co.th/
FVC,?????? ???????? ?????? ????? (?????),mai,??????,-,95 ???????????? 117 ???????????? ??????????? ?????????? ?????????????,10510,0-2518-2722,0-2518-2723,http://www.filtervision.co.th
GABLE,?????? ???????? ????? (?????),SET,?????????,??????????????????????????????,127/30 ????????????? ??????? 25 ???????? ????????????? ?????????? ?????????????,10120,0-2781-9000,0-2681-0425,www.g-able.com
GAHREIT,???????????????????????????????????? ?????? ????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,"989 ????????????????????????? ???? 9, 24 ????????? 1 ??????????? ?????????? ?????????????",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GBX,?????? ???????? ??????? ???????????? ????? (?????),SET,?????????????,????????????????????,"????? ???????? ??????????? ???? ???? 12, 87/2 ???????? ??????????? ?????????? ?????????????",10330,0-2672-5999,0-2687-7009,https://holding.globlex.co.th
GC,?????? ?????? ????????????? ????? (?????),SET,????????????????,?????????????????????,13/1 ???? 2 ??????????? ???????????? ??????????? ???????????,10540,"0-2763-7921, 0-2763-7999, 0-2763-7923-42","0-2763-7950, 0-2312-4880-1",www.gc.co.th
GCAP,?????? ?? ???????? ????? (?????),mai,?????????????,-,9/9 ????? ??????? ???? 19 ?????????? ??????????? ??????? ?????????????,10120,0-2651-9995,0-2651-9553,www.gcapital.co.th
GEL,?????? ????????? ????????????? ????? (?????),SET,??????????????????????????,?????????????,44/2 ???? 2 ??????????? ???????????? ?????????? ????????,12000,"0-2501-1055, 0-2501-2462-7, 0-2501-2020","0-2501-2134, 0-2501-2468",www.gel.co.th
GENCO,??????????????????????????????????????????????? ?????(?????),SET,??????,??????????????,447 ????????????? ?????????? ????????????? ???????,11120,0-2502-0900,0-2502-0999,http://www.genco.co.th
GFC,?????? ??????? ??????????? ????????? ????? (?????),mai,??????,-,?????? 2292 ????????? 9 ???????????? ?????????? ?????????????,10250,0-2108-6413-4,-,https://www.genesisfertilitycenter.co.th
GFPT,?????? ????????? ????? (?????),SET,???????????????????????,??????????????,312 ????????? 2 ????????? ????????? ?????????????,10150,0-2473-8000,"0-2473-8392, 0-2473-8384",www.gfpt.co.th
GGC,?????? ????????????????? ????? (?????),SET,????????????????,?????????????????????,?????? 555/1 ?????????????????????????? ??????? ???? 4 ???????????????? ??????????? ?????????? ?????????????,10900,0-2558-7300,0-2558-7301,http://www.ggcplc.com
GJS,?????? ?? ?? ???? ????? (?????),SET,????????????????,????? ??? ?????????????,?????? 88 ????? ???????? ???? 24 ??????? ????????????? ????????? ?????????????,10500,0-2267-8222,0-2267-9048,www.gjsteel.co.th
GLAND,?????? ?????? ????? ????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 161 ????????? 9 ???????????? ??????????? ?????????????,10310,0-2246-2323,0-2247-1082,http://www.grandcanalland.com
GLOBAL,?????? ???????????????? ????? (?????),SET,??????,???????,232 ??????? 19 ???????????? ?????????????????? ????????,45000,0-4361-9850-99,0-4351-9777,www.globalhouse.co.th
GLORY,?????? ??????????????? ????? (?????),mai,??????,-,?????? 20 ??????? 6 ?????????????????? ?????????? ????????? ?????????,74000,0-9876-5430-0,-,https://www.glory.in.th
GPI,?????? ??????????? ????????????????? ????? (?????),SET,??????,????????????????,4/299 ??????? 5 ????????????? 66 ????????????? ?????????????? ????????? ?????????????,10220,0-2522-1731-8,0-2971-6462,www.grandprix.co.th
GPSC,?????? ?????? ???????? ??????????? ????? (?????),SET,????????,?????????????????????,555/2 ?????????????????????????? ??????? ???? 5 ???????????????? ??????????? ?????????? ?????????????,10900,0-2140-4600,0-2140-4601,http://www.gpscgroup.com
GRAMMY,?????? ?????????? ??????? ????? (?????),SET,??????,????????????????,"??????????????? ??????? ????, 50 ??????????? 21 (????) ???????????????? ???????? ?????????????",10110,0-2669-9000,0-2669-9009,www.gmmgrammy.com
GRAND,?????? ?????? ?????? ??????? ????? ???????????? ?????(?????),SET,??????,?????????????????????????,?????? 388 ???????????? ???????? ???? 32 ?????????? 3203-4 ??????????? ??????????? ?????????? ?????????????,10110,0-2204-9900,0-2204-9996-9,http://www.grandeasset.com
GREEN,?????? ???? ?????????? ????? (?????),SET,????????,?????????????????????,405 ????????????? ??? 13 ?????????? ????????????? ???????,11120,0-2504-5237-39,-,www.greenresources.co.th
GROREIT,???????????????????????????????????? ?????? ????? ????? ???????????? ????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,"989 ????????????????????????? ???? 9,24 ????????? 1 ??????????? ?????????? ?????????????",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GSTEEL,?????? ?? ???? ????? (?????),SET,????????????????,????? ??? ?????????????,?????? 88 ????? ???????? ???? 18 ??????? ????????????? ????????? ?????????????,10500,0-2634-2222,0-2634-4114,www.gsteel.com
GTB,?????? ??????? ????? (?????),mai,????????????????,-,335/7 ?????????????? ??????????? ????????? ?????????????,10250,0-2366-0400,0-2366-0399,http://www.getabecboiler.com
GTV,?????? ??????? ????????? ????? (?????),mai,????????,-,?????? 944 ?????????????? ?????? ???????? ??????? 26 ?????????? ??? 26059 ????????? 4 ??????????? ?????????? ?????????????,10330,0-2026-8955,0-2677-7152,http://www.greentechventures.co.th
GULF,?????? ????? ????????????? ????? (?????),SET,????????,?????????????????????,87 ???????????? ???????? ????????? ???? ???? 11 ???????? ??????????? ?????????? ?????????????,10330,0-2080-4499,0-2080-4455,www.gulf.co.th
GUNKUL,?????? ???????????????????? ????? (?????),SET,????????,?????????????????????,?????? 548 ????? ??? ????? ????????? (??????) ??????? 44 ??????????? ??????????? ?????????? ?????????????,10330,-,-,http://www.gunkul.com
GVREIT,???????????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 944 ????????? ?????? ???????? ???? 22 ???????????? ??????????? ?????????? ?????????????,10330,0-2483-0000,-,www.gvreit.com
GYT,?????? ??????????(?????????) ????? (?????),SET,????????????????,???????,50/9 ??????? 3 ??????????? ??. 36 ????????????? ????????????? ????????,12120,0-2909-8080,0-2909-8068,www.goodyear.co.th
HANA,?????? ???? ?????????????????? ????? (?????),SET,?????????,??????????????????????,?????? 65/98 ??????????-?????? 64 ??? 2 ?????????????? ?????????? ?????????????,10210,"0-2551-1297, 0-2521-4935-9","0-2551-1299 , 0-2552-4906",www.hanagroup.com
HANN,?????? ?????????????????????????????????? ????? (?????),mai,??????,-,?????? 87 ????/???? ??????????? ?????/??? ????????????? ????????,49000,0-4261-1222 Ext.140,-,https://mukinter.com/
HARN,?????? ??? ?????????????? ?????????? ????? (?????),mai,????????????????,-,?????? 559 ????????????? 4 ????????? 9 ??????????? ??????????? ?????????????,10310,0-2318-9744,0-2318-9744 Ext. 4000,www.harn.co.th
HEALTH,?????? ????? ???????? ???????????? ????? (?????),mai,??????,-,"???????????? ???????? ?????? 9 - ????????, ???? 20 ?????????? OFFICE 2 ?????? 51 ??????????? ??????????? ?????????? ?????????????",10240,0-2514-5000,-,https://www.healthempire.co.th/
HENG,?????? ?????????? ????? ???????? ????? (?????),SET,?????????????,????????????????????,69 ??????? 7 ??????????????? ???????????? ?????????,50210,1361 ???? 0-2153-9587,0-5335-0490,https://www.hengleasing.com/
HFT,?????? ?????? ???????? (????????) ????? (?????),SET,????????????????,???????,317 ??? 6C ???? 4 ??????????????????? ?????????? ????????????????????? ???????????,10280,0-2709-6580,"0-2324-0483-4, 0-2709-6589",www.duro.co.th
HL,?????? ???????? ????? (?????),mai,??????,-,?????? 99/4 ??????? 10 ??????????? ???????????? ???????,11140,0-2118-0884,-,www.healthleadgroup.com
HMPRO,?????? ??? ???????? ????????? ????? (?????),SET,??????,???????,31 ??????????????????? ?????????? ????????????????? ???????,11000,0-2832-1000,0-2832-1400,www.homepro.co.th
HPF,?????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 195 ???????? ??????? ???????? 4 ???? 16-17 ???????? ??????????? ?????????? ?????????????,10330,0-2649-2000,0-2649-2100,www.mfcfund.com
HPT,?????? ??? ????????? ????? (?????),mai,??????????????????,-,?????? 119 ??????? 15 ????????-??? ?????????? ??????????? ?????,52170,0-5432-5180,-,www.homepottery.com
HTC,?????? ???????? ????? (?????),SET,???????????????????????,???????????????????,36/6 ??????????? 21 (?????) ??? 5 ??????????? ????????????? ?????????????,10310,0-2391-4488,0-2392-9985,http://www.haadthip.com
HTECH,?????? ????????? ?????????? ????? (?????),SET,????????????????,?????????????????????????????,41 ???? 14 ???????????????????? ??? 6 ?????????? ??????????? ?????????? ?????????????,10510,0-2906-3259-60,0-2906-3261,www.halcyon.co.th
HUMAN,?????? ?????????? ????? (?????),SET,?????????,??????????????????????????????,?????? 2 ??????????? 5 ??????????? ???????????? ?????????? ?????????????,10330,0-2636-6999,0-2092-9202,www.humanica.com
HYDRO,?????? ????????? ????? (?????),mai,??????????????????????????,-,?????? 1 ????? ???? ????? ?? ???? 14 ???????????????? 19 ??????????? ?????????? ?????????????,10900,0-2936-1661-2,0-2936-1669,www.hydrotek.co.th
HYDROGEN,???????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 989 ????????? 3 ????????????? ?????????? ?????????????,10120,0-2294-9999 Ext. 1542,-,www.hydrogenreit.com
I2,?????? ?? ?? ?????????????? ????? (?????),mai,?????????,-,?????? 104 ??????????? 6 ??????????? ???????????? ??????????? ?????????????,10230,0-2044-0134-5,0-2044-0134-5 Ext. 444,www.i2enterprise.com
ICC,?????? ??.??.??. ????????????????? ????? (?????),SET,??????,???????,530 ??????????????? 58 ????????????? ?????????? ?????????????,10120,"0-2293-9000, 0-2293-9300",0-2294-3024,http://www.icc.co.th
ICHI,?????? ??????? ????? ????? (?????),SET,???????????????????????,???????????????????,?????? 8 ?????????? ???? 42-44 ??????????? 40 ??????????? ?????????? ?????????????,10110,0-2023-1111,0-2020-3999,www.ichitangroup.com
ICN,?????? ????????????? ????? ?????????????? ??????????? ????? (?????),SET,?????????,??????????????????????????????,393 ????? ??.??.?? ???? 5 ?.???????????? ???????????? ??????????? ?????????????,10230,0-2553-0755-6,0-2553-0757,https://www.icn.co.th
IDG,?????? ??????? ????? (?????),mai,?????????,-,?????? 3 ????????/????? ??????????? 3 ???? 11 ???? 1105-1110 ????/??? ???????? 3 ????/????????? ?????/?????????? ?????????????,10900,0-2072-1900,-,www.indigy.com
IFS,?????? ???????? ???????? (?????????) ????? (?????),SET,?????????????,????????????????????,?????? 1168/55 ???? 20 ???????????????????? ????????? 4 ?????????????? ??????? ?????????????,10120,0-2285-6326-32,"0-2285-6335, 0-2679-9159",http://www.ifscapthai.com
IHL,?????? ???????????? ????? (?????),SET,????????????????,???????,678 ?????.??.??. ??????????? ????????????? ?????????? ???????????,10280,0-2028-9728-37,0-2028-9738-39,http://www.interhides.com
IIG,?????? ????????? ????? ????? (?????),mai,?????????,-,475 ?????????????? ????? ?????? 1801 ??????? 18 ???????????? ???????????? ?????????? ?????????????,10400,0-2248-3746,0-2248-3747,www.ii.co.th
III,?????? ???????? ?? ?????????? ????? (?????),SET,??????,??????????????????,628 ???? 3 ????????????? ?? ????????? ???????? ????????????? ?????????? ?????????????,10120,0-2681-8700,0-2681-8701,http://www.iii-logistics.com
ILINK,?????? ?????????????? ?????????????? ????? (?????),SET,?????????,??????????????????????????????,48 ??????????????????? ?.????????? ????????????? ????????????? ??????????? ?????????????,10310,0-2666-1111,0-2666-1193,http://www.interlink.co.th
ILM,?????? ????????? ???????????? ????? (?????),SET,??????,???????,?????? 147 ???????????? 2 ??? 50 ?.????????? 2 ????????? ?????????????? ?????????????,10150,0-2898-6420-5,0-2898-6940,www.indexlivingmall.com
IMH,?????? ???????????????????????? ???? ????? ???? ????? (?????),mai,??????,-,442 ????????? ?????????? ???????????? ?????????????,10160,0-2865-0044-49,0-2410-4284,www.imhhospital.com
IMPACT,???????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 47/569-576 ??????? 3 ???? 10 ?????????????????????? ????????? ???????????? 3 ???????????? ????????????? ???????,11120,0-2833-4455,0-2833-4456,www.impactgrowthreit.com
IND,?????? ????????? ????????????????? ????? ????? (?????),mai,??????????????????????????,-,?????? 1/814 ???? 17 ???????? ??????????? ???????? ???????????? ????????,12130,0-2532-3623,0-2532-3566,www.index.co.th
INET,?????? ????????????????????? ????? (?????),SET,?????????,??????????????????????????????,"?????????????? ???????? ???? 10-12 ??????? IT, 1768 ?????????????????? ??????????? ??????????? ?????????????",10310,0-2257-7000,0-2257-7222,www.inet.co.th
INETREIT,????????????????????????????????????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,1768 ?????????????? ???????? ??????? 24 ?????????????????? ??????????? ??????????? ?????????????,10310,0-2257-7000,0-2257-1379,www.inetreit.com
INGRS,?????? ??????? ???????????? (????????) ????? (?????),SET,????????????????,???????,?????? 9/141 ???? 14 ??????????? ???????? ????? A1 ??????????? ??????????? ?????????? ?????????????,10250,0-2719-9644-46,0-2719-9647,http://www.ingress.co.th
INOX,?????? ?????-????????? ????? (?????),SET,????????????????,????? ??? ?????????????,622 ???????????????????????? ???? 15/6-8 ??????????? ??????????? ?????????? ?????????????,10110,0-2494-3130-49,0-2494-3178-9,www.poscothainox.com
INSET,?????? ????????? ????? (?????),SET,?????????,??????????????????????????????,?????? 165/37-39 ???????????? ?????????????? ????????? ?????????????,10220,0-2092-7444,0-2092-7448,www.infraset.co.th
INSURE,?????? ?????????????? ????? (?????),SET,?????????????,???????????????????????,?????? 315 ????????????? ???? 3-4 ??????? ???????? ????????? ?????????????,10500,0-2631-1314,-,https:www.indara.co.th
IP,?????? ???????? ?????? ????? (?????),SET,??????????????????,????????????????????????,?????? 140/9 ???????????? ???????? ???? 9 ??????? ????????????? ?????? ?????????????,10500,0-2634-0225,0-2634-0135,www.interpharma.co.th
IRC,?????? ?????? ???????? (?????????) ????? (?????),SET,????????????????,???????,258 ?????????-??????? 49 ???????????????? ???????????? ????????,12130,0-2996-0890-7 (23 Lines),"0-2996-1439, 0-2996-0294",www.ircthailand.com
IRCP,?????? ????????????????? ??????? ???????????? ????? (?????),mai,?????????,-,?????? 1152 ???????? ??????? 16 ?????????? 1605-1608 ???????????? 4 ??????????? ?????????? ?????????????,10110,0-2171-8601,0-2171-8602,www.ircp.co.th
IROYAL,?????? ????????????? ?????????????? ????? (?????),mai,??????,-,?????? 171 ??????????????? ??????????? ?????????? ?????????????,10700,0-2433-2777,0-2433-6445,https://www.interroyalengineering.com
IRPC,?????? ?????????? ????? (?????),SET,????????,?????????????????????,?????? 555/2 ?????????????????????????? ????? ?? ???? 6 ???????????????? ??????????? ?????????? ?????????????,10900,0-2765-7000,0-2765-7001,https://www.irpc.co.th
ISSARA,??????????????????????????????????????????,SET,??????????????????????????,??????????????????????????????????????????????????????????????????,?????? 2922/198 ?????????????????????? 2 ???? 10 ?????????????????? ??????????? ?????????????,10310,0-2308-2022,-,-
IT,?????? ???? ????? ????? (?????),SET,??????,???????,"555 ??????????????????????????????????????????? ???? B2,5 ??????????? ???????????? ?????????? ?????????????",10400,0-2656-5030-39,-,www.itcity.co.th
ITC,?????? ??-??? ???????????? ????? (?????),SET,???????????????????????,???????????????????,?????? 979-92/94 ???? 29 ???????????????????? ??????????? ????????? ???????? ?????????????,10400,"0-2298-0029,0-2298-0433-9",0-2298-0442,www.i-tail.com
ITD,?????? ???????????? ????????????? ????? (?????),SET,??????????????????????????,?????????????????????,"????????????? ????????, 2034/132-161 ?????????????????? ??????????? ??????????? ?????????????",10320,0-2716-1600,0-2716-1488,http://www.itd.co.th
ITEL,?????? ?????????????? ??????? ????? (?????),SET,?????????,??????????????????????????????,?????? 48/66 ???????????? ????????????? ????????????? ??????????? ?????????????,10310,0-2666-2222,0-2666-2299,www.interlinktelecom.co.th
ITNS,?????? ????????????????? ?????????? ??????? ????? (?????),mai,?????????,-,?????? 3300/106-107 ??????? ????? ?? ??????? 20 ??????????? ????????? ?????????? ?????????????,10900,0-2513-7637,0-2513-7686,https://www.itns.co.th
ITTHI,?????? ?????????? ???? ???????????? ????? (?????),mai,??????????????????,-,?????? 89/18-19 ??????? 5 ?.?????????????? ?.?????????????? ?????????,74000,"0-3487-2577,0-3444-6258,0-3444-6265","0-3487-2566,0-3444-6267",www.itthi.co.th
IVF,?????? ???????? ??????? ????? (?????),mai,??????,-,"?????? 2 ???? 5 ????????????? ?????????, ?????????? 05-10B ??????????? 2, ??????? ?????????????",10110,0-2251-8666,-,www.inspireivf.com
IVL,?????? ????????? ????????? ????? (?????),SET,????????????????,?????????????????????,75/102 ????????????????????? 2 ???? 37 ??????????? 19 ??????? ???????????????? ???????? ?????????????,10110,0-2661-6661,0-2661-6664-5,www.indoramaventures.com
J,?????? ??????? ??????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 87 ????????? ??? ????????? ?????????? ??315 ???? 3 ????????????? ?????????????? ????????? ?????????????,10220,0-2012-1277,-,http://www.jasasset.co.th
JAK,?????? ????????? ?????? ????? (?????),mai,??????????????????????????,-,153/3 ???? 6 ?.?????? ?.????????????? ????????,12000,0-2157-1958,0-2157-1959,www.jak.co.th
JAS,?????? ?????? ????????????????? ????? (?????),SET,?????????,??????????????????????????????,"???????????????????????????? ???? 29-30, 200 ???? 4 ???????????? ???????????? ????????????? ???????",11120,0-2100-3000,0-2100-3150-2,http://www.jasmine.com
JCK,?????? ?????? ????????????????? ????? (?????),SET,??????????????????????????,????????????????????,?????? 18 ??????? 11 ??? 9 ???????????? ??????????? ??????? ?????????????,10120,"0-2676-4031-6, 0-2676-3836-9",0-2676-4038-9,www.jck.international
JCT,?????? ?????????????????? (???) ????? (?????),SET,??????????????????,????????????????????????,?????? 114/1 ??????????? 31 ???????????? ???????????? ?????????????,10520,0-2012-0012,"0-2021-0709, 0-2021-0719",www.Jackchia.co.th
JDF,?????? ???????? ????? (?????),SET,???????????????????????,???????????????????,"116, 116/1, 116/2 ??????? 3 ????????????? ???????????????????? ?????????",74000,"0-3444-0681, 0-3444-0682",0-3444-0683,www.jdfthailand.com
JMART,?????? ??????? ????? ????????? ????? (?????),SET,?????????,??????????????????????????????,"?????? 187, 189 ???????????? ??????????? ??????????????? ??????????? ?????????????",10240,0-2308-9000,0-2308-8001,http://www.jaymart.co.th
JMT,?????? ?? ???? ?? ?????????? ???????????? ????? (?????),SET,?????????????,????????????????????,?????? 187 ???????????? ???? 4-6 ??????????? ??????????????? ??????????? ?????????????,10240,0-2308-9999,0-2308-9900,http://www.jmtnetwork.co.th
JPARK,?????? ?????????? ????? (?????),mai,??????,-,944 ?????????????? ?????????????? ???? 1707-1708 ???? 17 ????????? 4 ??????????? ?????????? ?????????????,10330,0-2114-8222,-,https://jpark.co
JR,?????? ??.????.??????????. ????????? ????? (?????),SET,??????????????????????????,?????????????????????,32/288-290 ??????? 8 ???????????? ??????????? ????????? ?????????????,10230,0-2509-7000-2,0-2945-7381,www.jrw.co.th
JSP,?????? ????????????????????? ??????? (?????????) ????? (?????),mai,??????????????????,-,"255,257 ??????????????? 58 ????????????? ?????????? ?????????????",10120,0-2284-1218,0-2294-0705,www.jsppharma.com
JTS,?????? ?????? ????????? ???????? ????? (?????),SET,?????????,??????????????????????????????,"???????????????????????????????????? ???? 9, 200 ???? 4 ???????????? ???????????? ????????????? ???????",11120,0-2100-8300,0-2962-2523,http://www.jts.co.th
JUBILE,?????? ???????? ?????????????? ????? (?????),mai,??????????????????,-,?????? 179 ???????????????? ???????? ???? 10 ?????????? ?????????????? ??????? ?????????????,10120,0-2625-1188,0-2625-1100,www.jubileediamond.co.th
K,?????? ???????? ??.????.??.??. ????? (?????),mai,??????????????????????????,-,9/19 ??????? 7 ?????????????? ???????????? ????????,12150,0-2052-8008,0-2091-6930,http://www.kingsmen-cmti.com
KAMART,?????? ????????? ????? (?????),SET,??????,???????,81-81/1 ??????????? 54 ??? 3 ??????????? ???????????? ?????????????,10160,0-2805-2756-60,0-2805-2751-52,www.karmarts.co.th
KASET,?????? ????? ????? (?????),mai,???????????????????????,-,?????? 140 ???? 5 ????????????? ???????????? ??????,73210,0-2482-1661-6,0-3428-8415,www.kasetbrand.co.th
KBANK,?????????????? ????? (?????),SET,?????????????,??????,?????? 400/22 ??????????? ???????????? ???????? ?????????????,10400,0-2222-0000,0-2470-1144,www.kasikornbank.com
KBS,?????? ???????????? ????? (?????),SET,???????????????????????,???????????????????,?????? 5 ??????????? 57 ???????????????? ???????? ?????????????,10110,0-2725-4888,0-2617-6170,http://www.kbs.co.th
